,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
67,60d5c561761eef0008b835ad,ASALCBR,EQ,N,488.95,477.6,481.8,481.35,481.45,482.6,42677,20639628.95,510.0,218.1,3116,INE073G01016,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:33.765Z,2021-06-25T12:00:33.765Z,0,483.62,25-Jun-2021,,
68,60d9b9de758776000816a7fd,ASALCBR,EQ,N,493.95,481.0,488.0,483.75,486.85,481.35,60114,29246532.35,510.0,218.1,6209,INE073G01016,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:30.576Z,2021-06-28T12:00:30.576Z,0,486.52,28-Jun-2021,,
69,60db0b619d5cc5000861349c,ASALCBR,EQ,N,492.35,485.05,492.35,486.8,488.0,483.75,32855,16037992.05,510.0,218.1,2018,INE073G01016,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:33.515Z,2021-06-29T12:00:33.515Z,0,488.14,29-Jun-2021,,
70,60dc5cdc7f32fd0009386dce,ASALCBR,EQ,N,498.8,481.1,491.2,483.6,486.9,486.8,72419,35593878.9,510.0,218.1,4948,INE073G01016,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:28.967Z,2021-06-30T12:00:28.967Z,0,491.5,30-Jun-2021,,
71,60ddae6215ea3f0008fe537e,ASALCBR,EQ,N,493.3,484.5,484.5,489.75,492.2,483.6,79340,38790006.5,510.0,218.1,3050,INE073G01016,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:34.473Z,2021-07-01T12:00:34.473Z,0,488.91,01-Jul-2021,,
72,60deffe3f20fbd0009ce6295,ASALCBR,EQ,N,505.0,483.4,493.85,501.45,504.0,489.75,111462,55378482.2,510.0,218.1,5461,INE073G01016,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:35.863Z,2021-07-02T12:00:35.863Z,0,496.84,02-Jul-2021,,
73,60e2f462d502fe0008ce9aaa,ASALCBR,EQ,N,516.0,494.0,510.0,501.45,498.55,501.45,107587,54378594.15,516.0,218.1,4946,INE073G01016,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:34.102Z,2021-07-05T12:00:34.102Z,0,505.44,05-Jul-2021,,
74,60e445e4d77ada00087bd110,ASALCBR,EQ,N,502.0,490.0,502.0,491.85,492.9,501.45,57731,28591434.6,516.0,218.1,3573,INE073G01016,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:36.182Z,2021-07-06T12:00:36.182Z,0,495.25,06-Jul-2021,,
75,60e5976325a08e00087c0be0,ASALCBR,EQ,N,495.6,485.5,492.9,488.4,489.6,491.85,32800,16060698.7,516.0,218.1,2345,INE073G01016,2021-07-07,2021-07-06T18:30:00.000Z,2021-07-07T12:00:35.616Z,2021-07-07T12:00:35.616Z,0,489.66,07-Jul-2021,,
76,60e6e8e26972b0000896f136,ASALCBR,EQ,N,495.75,484.0,486.0,487.15,492.25,488.4,32589,15943618.0,516.0,218.1,2628,INE073G01016,2021-07-08,2021-07-07T18:30:00.000Z,2021-07-08T12:00:34.044Z,2021-07-08T12:00:34.044Z,0,489.23,08-Jul-2021,,
